Tabel 1
Substance;Sector;EDGAR Country Code;Country;Macro-region;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CO2;Forest Land;BDI;Burundi;Africa;9,6342188980931;10,120544391932;10,637657543757;11,115851407661;11,865341111598;13,573335964131;14,567397989344;15,166137815314;15,85662598535;11,381088031735;12,206209719104;15,244103188173;16,838785126981;17,865780405765;18,519221363697;19,352760593136;19,889587806819;19,743608948056;15,938164116935;18,236137214545;20,070208266008;22,464889448379;14,282270197401;13,953369073495;15,73211761537;24,763979040114;26,370284450099;23,446613111622;22,975007788438;23,035476701978;23,09176286771;23,051725946385;23,100464488831;23,144455792627;23,188447096422
CO2;Organic Soil;BDI;Burundi;Africa;2,9026200610202;2,9026200610202;2,9026200610202;2,9026200610202;2,9026200610202;3,018917963859;3,0318756037685;3,058348297496;3,0846652771473;3,1293438208281;3,1289830535073;3,1220649285859;3,1220442711523;3,1196448748737;3,1112382790802;3,1163535357341;3,1223103509484;3,1206192971076;3,1222117586647;3,1202547881779;3,1229888071463;3,1231318122562;3,1215798841164;3,1204432884279;3,1229373762663;3,1226783360213;3,093622915925;3,0853270375691;3,0740433609155;3,0356507614715;3,0272159042437;3,0266978100504;3,0266978100504;3,0266978100504;3,0175064185171
CO2;Deforestation;BEN;Benin;Africa;1,4382351994504;1,4382351994504;1,4382351994504;1,4382351994504;1,4382351994504;1,4382351994504;1,4382351994504;1,4382351994504;1,4382351994504;1,4382351994504;1,4382351994504;2,6286123663134;0,6239570708275;1,0621361612103;0,34992184839043;0,81257007344727;1,0907021677347;1,6267812585082;0,22970481279915;1,6180707867781;0,26481070574099;0,091918364156784;0,51793268738103;0,64466240160217;0,78655673786574;0,34286982193546;0,7803464631067;0,82163738357507;0,63951663669714;0,3237598158581;0,64290937867987;0,68735713797;0,55134211083599;0,55134211083599;0,55134211083599
CO2;Fires;BEN;Benin;Africa;0,00038400305715987;0,001439958968524;0,00045133395;0,00045133395;0,00045133395;0,00045133395;0,000777057647;0,001182639882;0,00018589819;0,001234481051;0,00102918158;0,000898971424;;0,00092447268;;;;;;;;;0,00092447268;;;;;;;;;;;;
GWP_100_AR5_CH4;Fires;BEN;Benin;Africa;0,79560580057343;0,82962870722294;0,69581991902163;0,28812678399322;0,70851541959792;0,70851541959792;0,8839379080581;0,2791135768258;0,77519446878402;0,74655365592971;0,68287080057681;0,84077635526784;0,944414806174;0,68060540075584;0,55654935984872;1,4504889310106;0,8097197360028;0,79399708007144;0,49021938922404;0,56139082421324;0,40916733239872;0,540816114475;0,44746763416936;0,54720592407152;0,3841845309106;0,3981661193076;0,46727089015404;0,3753997153382;0,34058591173908;0,48468870216872;0,49764486296112;0,41550990215616;0,26709682822984;0,31573055656128;0,22424838357208
GWP_100_AR5_N2O;Fires;BEN;Benin;Africa;0,60496807725932;0,63780635970268;0,53008367447475;0,21492383300486;0,54609550125012;0,54609550125012;0,67460230518659;0,19772291709163;0,58955420163298;0,56649553636265;0,52309271299091;0,64127961377752;0,69033299703432;0,53386266888792;0,43313811002484;0,94152583871098;0,57756546870504;0,58871749083494;0,37957646150865;0,41400804319351;0,34049235397319;0,41682259611136;0,36892606573705;0,43736862297767;0,32926560894555;0,3283954585734;0,38344824851762;0,31584595206304;0,27591871086197;0,3520015855076;0,34286265290871;0,3178671723177;0,2222581328537;0,25832606526987;0,19105991635316
CO2;Forest Land;BEN;Benin;Africa;-6,4566671862007;-6,2053943768972;-6,0807801477686;-5,8758480481894;-5,7138316952261;-5,6452204195331;-5,5380239419263;-5,4107077779225;-5,4378651378849;-7,173405204322;-7,5704454006742;-7,1016531427167;-6,5290336396611;-5,9763948855503;-5,5093274510357;-4,6953510284103;-2,9655066632365;-4,0473124203129;-10,72458970201;-5,4365440614655;-2,542973410819;-1,1684078789215;-0,48263675368729;0,046577022015907;0,86617086030266;0,9540912928132;2,0275957147792;3,0538549741962;2,760644854236;2,3219226886177;2,1369528188117;2,2998066837822;1,1243351476394;1,2896823267182;1,455029505797
CO2;Deforestation;BFA;Burkina Faso;Africa;0,0016989485524737;0,0016989485524737;0,0016989485524737;0,0016989485524737;0,0016989485524737;0,0016989485524737;0,0016989485524737;0,0016989485524737;0,0016989485524737;0,0016989485524737;0,0016989485524737;0,004931648477012;0,00016519718040896;0;0;0,00080263812005393;0;0;0;0,00041739549852673;0,0024073182707695;0,0002597673066639;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2;Fires;BFA;Burkina Faso;Africa;0,000542584802317;0,00054711583889843;0,00021506690423647;0,0010132287902303;;;0,00001766409;0,000027234493;0,000673097498;0,002519948735;0,000484043722;0,00246954228;;;;;;;;;;;;;;;;;;;;;;;
GWP_100_AR5_CH4;Fires;BFA;Burkina Faso;Africa;1,25528476188;1,5997683335908;0,94051855864572;0,70541379934073;1,1315833158097;1,1315833158097;1,3765366197985;0,27176598143178;1,5511523491879;1,4290224670389;1,0108096044271;1,3149138524801;1,1398266857222;1,0469196779924;1,1474866430745;1,226703792627;0,87897030578504;0,94149156382344;0,79001322810312;0,88946424947436;0,92467941662656;0,88155097370956;0,60623653712608;0,7112747419722;0,65652471816624;0,50985797506504;0,72040882308528;0,62046725561996;0,4500281775332;0,47403773193952;0,41615255362268;0,58019015353404;0,44774942499084;0,8317728962648;1,1873299472152
