Tabel 1
EDGAR Country Code;Country;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
AUS;Australia;0,74565293280096;0,75307607431648;0,75312587201757;0,73088753892211;0,70901942101884;0,69415434693115;0,68644472584387;0,67765669699567;0,67428599506678;0,65007807708524;0,63710489698981;0,63537432021918;0,62173760556963;0,59120124935923;0,58960620391716;0,57314898603145;0,56473814575581;0,55147275835097;0,53075078171733;0,52725265816134;0,51676929626027;0,51472132465765;0,49865926540828;0,47816615114098;0,46011872025159;0,45293376615511;0,43726260244747;0,43969352372715;0,42399063677437;0,41299210773007;0,39599029838103;0,38555586018945;0,36703501513593;0,36458486981609;0,36325975728412
AUT;Austria;0,24111009443334;0,24543812965971;0,22483767851254;0,22365500980905;0,21962277628392;0,22168199376937;0,22742042132402;0,22060922700268;0,21348264585473;0,20079158909161;0,19487231413823;0,20358890129414;0,20465837928119;0,21307528968178;0,20945146053929;0,2057523752937;0,19420085124046;0,18119527184261;0,17780046731386;0,16894283311282;0,17818516411779;0,16963802663525;0,16210735104279;0,16350735903802;0,15523245639717;0,15596726604927;0,15354874717111;0,15405295811675;0,14488918569096;0,14472585536692;0,14303679147412;0,14199828138616;0,12814398945834;0,12175597592998;0,12217602486585
AZE;Azerbaijan;0,87523291033905;0,85782729849048;0,9310438600103;1,0725581110249;1,1853467205643;1,3183748832042;1,1366926552985;1,0538023871757;0,96925472459578;0,92631152976536;0,87167697830181;0,77996368256982;0,70989542325824;0,69079381633263;0,63190785444269;0,5278901947421;0,40737883865188;0,32758151290792;0,32488111302789;0,2643078716735;0,24657589754312;0,26425033434593;0,27566233786764;0,2668670815965;0,26888032919338;0,26547287665963;0,27245284871678;0,27062672548693;0,27023977907611;0,27763003171316;0,28146113594161;0,2775895086734;0,27745764747452;0,2818627944114;0,25872199286544
BDI;Burundi;0,39057564973333;0,38823401924656;0,37885124933007;0,41096660103036;0,42397207963402;0,47846205084442;0,53697545177323;0,55412157138642;0,52601210177938;0,46313849256489;0,47738337465676;0,46505662686178;0,44068371008789;0,45218726802339;0,45284087620548;0,46493353840127;0,46832440418122;0,48765588718952;0,46320781758189;0,47439742263299;0,49104599978939;0,50130974853295;0,47967067903661;0,56766562846595;0,54015395836274;0,56082442472542;0,59739244335307;0,66225570473602;0,6812504201709;0,64434037497228;0,6426473245308;0,7286948603387;0,6978293537308;0,72179085778446;0,71714768997031
BEL;Belgium;0,3385457957214;0,34205078063274;0,33161315848742;0,33024941563529;0,33651335149967;0,33092606905745;0,3387729756494;0,31886006534718;0,3204517273652;0,30161171061433;0,2935605637323;0,29084877059377;0,27162084600089;0,27586186774049;0,26422163863675;0,25260227692993;0,24041659488596;0,22764107032107;0,22940661411571;0,22124351369264;0,22917743338508;0,20788824193657;0,20449251532714;0,20573650851123;0,19165540942268;0,19608666834992;0,19211446302925;0,18628644327169;0,18376051014458;0,17894103083761;0,17477330489349;0,17003429920702;0,15280892246345;0,14457364881176;0,14394590549003
BEN;Benin;0,32933381027489;0,32350930956041;0,3225928860717;0,30637578915969;0,32495515821733;0,29109306478829;0,34209435482562;0,34123781062552;0,32928044691751;0,33260567174298;0,32620275029581;0,33720948402585;0,3445373993851;0,35048880880398;0,35018217298131;0,36436217874908;0,40511833202898;0,41134401182776;0,39649381203213;0,40753906509343;0,43121079431955;0,42225097994917;0,40104565843644;0,39745913572504;0,39275090849436;0,40253100554673;0,43786452053473;0,42378466277171;0,43328441823066;0,41041700164954;0,40734021426546;0,34831089022085;0,34539006805052;0,33048729806887;0,317685944789
BFA;Burkina Faso;1,1142607841367;1,074999500877;1,0837156030223;1,0729345456544;1,0926935334883;1,0679537123592;0,99240149633708;0,96740551038618;0,92854726532602;0,82783152773487;0,83238633161946;0,87280429198466;0,85685865784908;0,95673014827384;0,92792987207447;0,88273453632208;0,85011504776867;0,85044518020921;0,84607654292476;0,83981079137428;0,80238009513467;0,7731772351146;0,75432712997268;0,74093592651047;0,71868104366815;0,73508683606353;0,71438937628957;0,69804028753254;0,68864505558242;0,67372618129917;0,59045093249858;0,64796330562299;0,64391296953614;0,60526902242608;0,5849369638028
BGD;Bangladesh;0,32405124342008;0,3136049090352;0,30797940285978;0,3008096683005;0,30020937024624;0,30681273719453;0,29855216262893;0,29380516762172;0,28266378895143;0,28357325365361;0,27493111311539;0,27885366627314;0,27627336742394;0,27089042394772;0,26331079362111;0,25589457220933;0,24896168552752;0,24103215620211;0,23979356918952;0,23658641535636;0,23623134143157;0,22933735689969;0,22287254809442;0,21432764779951;0,21021461119544;0,20801265670475;0,20377088744394;0,20065916699462;0,1918414980256;0,18244127840632;0,17378754358215;0,17583505851192;0,16688374881628;0,15271618141495;0,14991805819884
BGR;Bulgaria;0,77280520483336;0,69948959914783;0,71107433217018;0,71011670360455;0,66558090540529;0,65513170064807;0,62771353654467;0,70277764900653;0,64953751031135;0,63711801873096;0,59316995695814;0,58996086947591;0,52808193153081;0,55349408627436;0,50673367715271;0,48009349209997;0,45833185052639;0,45426917223595;0,40902849980222;0,3709579903432;0,38380427861314;0,41048083401694;0,37796856970464;0,34723004667953;0,36494302789601;0,36573867892632;0,34135520587846;0,34467902483007;0,31887335851459;0,29912717626634;0,28119867592296;0,29359379661539;0,29922816755982;0,23246916770351;0,21250895534585
BHR;Bahrain;1,3489423564319;1,193953552496;1,2837825852358;1,2102827181254;1,2114529967;1,1610028232463;1,1575159258896;1,0416393519061;1,0391884064266;1,0549569354275;1,0169508220665;1,0192458709965;0,97353509714508;0,90737792844416;0,84671177490184;0,86576946726769;0,84514017614356;0,80067148053174;0,81353480020057;0,80314772463423;0,77527424828585;0,76640887787997;0,79542555821372;0,82128549619195;0,81251255324198;0,7951896337188;0,76900846074533;0,73068745631432;0,71663195480391;0,74863289100353;0,79830747719839;0,76817130639573;0,73949079622858;0,7117610020613;0,68741399532309
