Tabel 1
Substance;Sector;Macro-region;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CO2;Forest Land;Australia, Japan, and New Zealand;-508,78050569779;-509,50240746558;-509,56628378158;-509,85878720362;-508,11291025899;-505,15723679619;-500,74899368174;-497,79388786811;-506,65328803931;-495,13876482871;-484,67960880484;-484,72582973557;-483,00571467491;-485,12090634832;-485,55347705853;-486,59939914972;-481,86090729096;-478,24559866786;-484,69342088946;-489,15264803569;-480,41477505449;-472,04227495432;-474,71998500512;-467,86608049406;-467,50024090124;-463,23426934391;-457,02993664216;-439,17914980887;-435,34675261737;-435,293603141;-455,27591123887;-448,26929237142;-448,04996480217;-451,74301069368;-455,4360565852
CO2;Organic Soil;Australia, Japan, and New Zealand;10,729450575273;10,830776780504;10,718144127439;10,540139994243;10,771441789583;10,861220505735;10,973876303;10,698646987631;10,890425371147;11,126886502623;11,024762306573;11,016929662827;10,725160442839;10,606249005803;10,780252520758;10,59685921271;10,539417980346;10,295660961382;10,288990541525;10,190887351282;10,41956586913;10,407829438975;9,8791312497206;9,7492103130206;9,7975012820588;9,4946035304494;9,3431500180042;9,6690373943583;9,6765781199603;9,44913737371;9,5745744674973;9,8123235029078;9,7379034456832;9,7379034456832;9,7276188724165
CO2;Other Land;Australia, Japan, and New Zealand;11,185098965911;9,2248245851101;0,49993156934815;-0,89114126536976;2,1040196384159;-1,2110954515521;-0,77182651625595;-3,7033114621939;-1,8184041766741;1,9651239670847;1,525520960549;-4,0646775467493;0,73304291612729;8,4256457986928;0,7912927798421;9,3245875694752;22,488257866997;16,020317815772;6,9827341698545;10,280629780821;0,93646655697383;-0,62771790240838;-12,804320019737;-20,236559979455;-14,7661363651;-13,950373498522;-19,945901802419;-15,372509482831;-26,257021940125;-36,655426401657;-37,97470115035;-47,464868133611;-41,727263279599;-41,727263279599;-41,727263279599
CO2;Deforestation;Eastern Asia;1,4294734735821;1,4294734735821;1,4294734735821;1,4294734735821;1,4294734735821;1,4294734735821;1,4294734735821;1,4294734735821;1,4294734735821;1,4294734735821;1,4294734735821;1,3808432324444;1,2188816823019;1,688695506;3,134926447346;2,9237884300613;3,3553707558986;4,0204607302458;6,5877815751482;4,8384793947186;4,9422236149741;3,5685492593476;5,0360389684543;3,2638287218117;4,3152273316141;3,4219502388533;5,0377872185882;4,5141597936709;3,8384994268955;4,825009567117;3,5845597894239;4,4830602652526;4,2975432072645;4,2975432072645;4,2975432072645
CO2;Fires;Eastern Asia;158,73005755171;155,50392805319;205,89985722484;159,58931633916;135,13142328112;135,13142328112;86,846467562128;36,808055307332;144,60576943921;114,19084208199;172,62207991029;60,740595311029;13,79540285575;39,94796517473;22,3338004053;16,56654598338;15,69809600423;20,21380421907;38,11101355601;19,90363140228;13,20013303281;22,39450712889;20,82523541204;14,59390830065;26,04226942691;21,71286281486;15,90281866212;9,9052718499;11,12733762593;13,48749058734;9,74050229497;6,71443348337;8,2845005469;21,14571810273;9,80300499355
GWP_100_AR5_CH4;Fires;Eastern Asia;13,747063046022;13,269600456315;21,730108394096;20,833012280895;12,254286878627;12,254286878627;8,2430157939275;3,1763620584903;13,094031273236;11,066611742683;15,537984300889;4,9905131391631;0,94074673560336;3,1774567020325;2,4076514325707;1,4716131849768;1,1664741240449;1,7631223460245;3,6123142847198;1,9423101867655;1,4425542178074;1,4738603570914;1,3005942949163;0,9610822785984;2,0051696169492;1,3494034389732;1,0623935954013;0,7137640781012;0,90507654701352;1,0652410665103;0,84149402009736;0,587484644908;0,63240104390624;1,5413971003046;0,847263838078
GWP_100_AR5_N2O;Fires;Eastern Asia;7,2258946273278;7,0688226829572;10,551843198995;9,446612268618;6,2315518308209;6,2315518308209;4,1964495477706;1,6662538790796;6,754325133325;5,4866423121189;8,1590113388292;2,7012727819527;0,58748269491052;1,8327505654;1,2217416517131;0,82492882323479;0,68918679660552;1,0024619933151;1,864706303891;1,0401053160313;0,78277058947454;0,94369781325798;0,84666778283551;0,61126965621019;1,1248280156286;0,88543093674509;0,66444446524338;0,41115630197182;0,48920313367666;0,59143811254392;0,44486738104949;0,31475061021163;0,36210574137986;0,93682689807329;0,44025902279712
CO2;Forest Land;Eastern Asia;-665,06174333695;-666,0632244842;-663,8995704342;-658,88005890361;-665,3786461243;-655,73128204413;-641,51650541582;-643,80145275563;-642,09901949242;-660,50270945058;-664,01657125414;-662,96827720208;-652,85030743276;-643,38828340447;-637,27719378969;-632,28392158381;-626,12096204046;-567,67159864951;-506,94285375535;-427,19111629897;-371,66660826773;-356,7101086144;-349,5209682487;-318,97834523344;-369,90719963227;-407,32538608147;-318,53340642878;-329,14156306105;-321,862245642;-407,54193671203;-347,77169364014;-356,61818754411;-361,95664055664;-371,66606711684;-381,37549367704
CO2;Organic Soil;Eastern Asia;26,042180501482;26,042180501482;26,042180501482;26,039907640788;26,038787458216;26,097661378975;26,132427944974;26,17578572373;26,215673560199;26,260610397328;26,289708904971;26,276662504365;26,274617906143;26,286927564426;26,362110876769;26,382297304022;26,3994869779;26,436394137761;26,432910054583;26,464924884488;26,471607047352;26,546078516087;26,570997229281;26,582143381388;26,591320123058;26,595119597036;26,41170351675;26,345231308694;26,336468465934;26,35100983592;26,364758511253;26,295702444581;26,279200937431;26,279200937431;26,26778138505
CO2;Other Land;Eastern Asia;-179,37172427869;-179,37172427869;-179,37172427869;-179,37172427869;-179,37172427869;-179,37172427869;-179,37172427869;-179,37172427869;-179,37172427869;-179,37172427869;-179,37172427869;-179,37172427869;-179,37172427869;-179,37172427869;-179,37172427869;-179,37172427869;-197,94036843986;-216,50901260102;-235,07765676219;-253,64630092336;-272,21494508452;-290,78358924569;-309,35223340686;-327,92087756802;-346,48952172919;-365,05816589036;-383,62681005152;-402,19545421269;-420,76409837386;-439,33274253502;-457,90138669619;-475,91088504256;-475,91088504256;-475,91088504256;-475,91088504256
CO2;Deforestation;Eastern Europe and West-Central Asia;0,11649163448193;0,11649163448193;0,11649163448193;0,11649163448193;0,11649163448193;0,11649163448193;0,11649163448193;0,11649163448193;0,11649163448193;0,11649163448193;0,11649163448193;0,11221129442414;0,1279135719886;0,10935003703304;0,16891732319533;0,10114171224785;0,11799451319355;0,080909578765787;0,074015445348512;0,14031556378649;0,15418640393211;0,15282263034473;0,17824122861467;0,092017990682279;0,072028303161233;0,070380050948906;0,21831063612076;0,17108920675669;0,11956615753756;0,086853687304806;0,070524442965867;0,074721018113941;0,077366382794871;0,077366382794871;0,077366382794871
CO2;Fires;Eastern Europe and West-Central Asia;710,23174182567;727,66429403726;698,78506685052;540,34252934794;863,7485055681;863,7485055681;741,68200672913;585,00230176194;405,9246127511;703,39647079963;874,17089040417;381,02258566394;333,46737524196;454,96463148143;259,94842685732;250,48434427829;279,04941941774;170,04315319791;438,25736397845;196,81704538541;288,39338069154;213,57652448212;332,22513968235;143,08191558547;330,90795232786;173,32215831653;226,37567857197;213,53233159122;288,47592985743;268,16656223054;196,12391439352;229,65202942998;115,46504038089;155,08045856676;186,78173667443
GWP_100_AR5_CH4;Fires;Eastern Europe and West-Central Asia;136,6642169372;137,80117809723;134,08289401402;122,00077263001;148,21345602089;148,21345602089;116,50945415511;114,54863078025;67,94152892171;123,13391408292;158,41581092019;68,637361781016;39,17017617975;69,555062703374;27,965448460689;40,612865117939;32,473791564683;22,600685920205;82,850103649011;33,176041074386;37,498217096949;29,315216386123;55,814672681988;29,828221974093;41,93706709568;20,121171161816;38,67273347216;20,497917668463;57,850378262465;35,556812667121;28,33809591585;34,301966116804;16,325570518633;36,54158489011;38,157285266308
GWP_100_AR5_N2O;Fires;Eastern Europe and West-Central Asia;19,674708676493;20,487340017951;19,243613793435;12,623690769295;26,619154249234;26,619154249234;24,284297692333;15,850748562176;11,491703067088;20,54703580581;24,961481799846;9,8218561899336;9,8851307671285;12,941658705174;8,8775701279726;6,5504732665471;8,8916655223906;5,0023197248688;11,216392165401;5,3863894283772;8,8091263099259;6,7438617537012;9,4867061794051;3,3119301371304;10,789782718224;5,4986737933946;6,462737648371;7,130593859455;7,1967160328972;8,2705425419165;5,590484221955;6,5886826976946;3,5075497500048;3,108223290631;4,359001407383
